City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather Description,"Rain (inches, last 3 hrs)","Snow (inches, last 3 hrs)"
405,Mackay,AU,2020-01-17 23:51:47,-21.15,149.2,89.01,65,45,4.7,light rain,0.62,0.0
406,Talcahuano,CL,2020-01-17 23:50:09,-36.72,-73.12,66.2,52,0,5.82,clear sky,0.0,0.0
407,Kazuno,JP,2020-01-17 23:51:48,40.18,140.79,26.6,92,40,4.7,scattered clouds,0.0,0.0
408,Salamiyah,SY,2020-01-17 23:51:49,35.01,37.05,42.91,87,96,8.03,overcast clouds,0.0,0.0
409,Soyo,AO,2020-01-17 23:45:47,-6.13,12.37,80.4,84,88,7.45,overcast clouds,0.0,0.0
410,Broken Hill,AU,2020-01-17 23:51:51,-31.95,141.43,66.2,45,33,11.41,scattered clouds,0.0,0.0
411,Pemberton,CA,2020-01-17 23:51:52,50.32,-122.8,12.0,78,20,0.98,few clouds,0.0,0.0
412,Sakaiminato,JP,2020-01-17 23:51:53,35.55,133.23,46.4,61,75,18.34,broken clouds,0.0,0.0
413,Bonavista,CA,2020-01-17 23:51:53,48.65,-53.11,23.0,89,100,30.0,snow,0.0,7.38
414,Chemal,RU,2020-01-17 23:51:55,51.41,86.0,17.17,76,100,12.48,light snow,0.0,0.25
415,Almaznyy,RU,2020-01-17 23:51:56,48.04,40.05,35.6,80,75,11.18,broken clouds,0.0,0.0
416,Kutum,SD,2020-01-17 23:51:57,14.2,24.67,52.34,34,28,4.23,scattered clouds,0.0,0.0
417,Nanchang,CN,2020-01-17 23:51:03,28.68,115.88,41.05,86,39,4.74,scattered clouds,0.0,0.0
418,Vardo,NO,2020-01-17 23:45:29,70.37,31.11,14.0,78,20,13.87,few clouds,0.0,0.0
419,Porangatu,BR,2020-01-17 23:51:59,-13.44,-49.15,76.55,77,100,0.78,overcast clouds,0.0,0.0
420,Geraldton,AU,2020-01-17 23:43:39,-28.77,114.6,71.6,73,90,10.29,overcast clouds,0.0,0.0
421,Valdivia,CL,2020-01-17 23:52:00,-39.81,-73.25,78.8,47,0,12.75,clear sky,0.0,0.0
422,Mweka,CD,2020-01-17 23:52:00,-4.85,21.57,70.14,98,59,1.36,moderate rain,3.13,0.0
423,Tutayev,RU,2020-01-17 23:52:01,57.89,39.54,37.4,86,90,8.95,overcast clouds,0.0,0.0
424,Tumut,AU,2020-01-17 23:52:02,-35.3,148.22,79.07,38,16,2.75,few clouds,0.0,0.0
425,Shenzhen,CN,2020-01-17 23:50:43,22.55,114.07,62.01,59,20,4.7,few clouds,0.0,0.0
426,Umm Lajj,SA,2020-01-17 23:52:03,25.02,37.27,58.24,68,47,9.84,scattered clouds,0.0,0.0
427,Vrangel,RU,2020-01-17 23:52:03,42.73,133.08,23.02,54,76,4.14,broken clouds,0.0,0.0
428,Brindisi,IT,2020-01-17 23:52:04,40.58,17.67,46.99,87,20,5.82,few clouds,0.0,0.0
429,Rio Gallegos,AR,2020-01-17 23:50:25,-51.62,-69.22,59.0,41,20,34.45,few clouds,0.0,0.0
430,Santiago De Cao,PE,2020-01-17 23:52:05,-7.96,-79.24,71.6,78,0,12.75,clear sky,0.0,0.0
431,Vao,NC,2020-01-17 23:52:06,-22.67,167.48,77.18,80,22,20.54,light rain,0.19,0.0
432,Mahbubabad,IN,2020-01-17 23:52:07,17.62,80.02,65.59,98,19,5.41,few clouds,0.0,0.0
433,Yurimaguas,PE,2020-01-17 23:52:07,-5.9,-76.08,86.0,74,40,6.93,scattered clouds,0.0,0.0
434,Sinnamary,GF,2020-01-17 23:52:08,5.38,-52.95,79.41,82,92,16.26,light rain,0.19,0.0
435,Whitianga,NZ,2020-01-17 23:52:08,-36.83,175.7,75.99,62,0,3.0,clear sky,0.0,0.0
436,Marawi,PH,2020-01-17 23:52:09,8.0,124.29,75.99,79,17,3.0,few clouds,0.0,0.0
437,Humaita,BR,2020-01-17 23:52:10,-7.51,-63.02,76.48,95,100,1.9,light rain,0.19,0.0
438,Lahr,DE,2020-01-17 23:52:10,48.35,7.87,48.2,81,90,5.82,light rain,0.0,0.0
439,Malinyi,TZ,2020-01-17 23:52:12,-8.93,36.13,73.15,98,100,2.39,light rain,0.88,0.0
440,Husavik,IS,2020-01-17 23:45:05,66.04,-17.34,30.2,58,40,24.16,scattered clouds,0.0,0.0
441,Gazojak,TM,2020-01-17 23:52:13,41.19,61.4,31.06,66,0,11.27,clear sky,0.0,0.0
442,Corrales,US,2020-01-17 23:52:14,35.24,-106.61,51.01,49,1,21.92,clear sky,0.0,0.0
443,Toppenish,US,2020-01-17 23:52:15,46.38,-120.31,33.01,86,1,1.16,clear sky,0.0,0.0
444,Elk City,US,2020-01-17 23:52:17,35.41,-99.4,42.01,93,90,12.75,overcast clouds,0.0,0.0
445,Tautira,PF,2020-01-17 23:52:18,-17.73,-149.15,87.8,58,75,24.16,broken clouds,0.0,0.0
446,Kasongo-Lunda,CD,2020-01-17 23:52:19,-6.47,16.82,69.49,85,84,1.39,broken clouds,0.0,0.0
447,Am Timan,TD,2020-01-17 23:52:20,11.03,20.28,69.6,26,28,4.0,scattered clouds,0.0,0.0
448,Dawei,MM,2020-01-17 23:52:20,14.08,98.2,77.7,68,0,5.5,clear sky,0.0,0.0
449,Dumas,US,2020-01-17 23:52:21,35.87,-101.97,60.8,62,1,19.46,clear sky,0.0,0.0
450,Comodoro Rivadavia,AR,2020-01-17 23:52:25,-45.87,-67.5,86.0,23,40,16.11,scattered clouds,0.0,0.0
451,Bartica,GY,2020-01-17 23:52:28,6.4,-58.62,78.8,88,40,6.93,scattered clouds,0.0,0.0
452,Khani,GE,2020-01-17 23:52:31,41.96,42.96,30.2,92,75,3.36,broken clouds,0.0,0.0
453,Ulladulla,AU,2020-01-17 23:52:35,-35.35,150.47,69.01,93,100,14.99,light rain,0.12,0.0
454,Bjornevatn,NO,2020-01-17 23:52:37,69.67,29.98,14.0,84,0,8.05,clear sky,0.0,0.0
455,Torquay,GB,2020-01-17 23:52:38,50.46,-3.51,41.0,93,20,3.36,few clouds,0.0,0.0
456,Muret,FR,2020-01-17 23:52:39,43.33,1.25,42.8,87,4,9.17,clear sky,0.0,0.0
457,Buraydah,SA,2020-01-17 23:52:41,26.33,43.98,62.6,36,40,4.7,scattered clouds,0.0,0.0
458,Bull Savanna,JM,2020-01-17 23:52:45,17.89,-77.59,66.81,80,0,7.78,clear sky,0.0,0.0
459,Huicheng,CN,2020-01-17 23:52:46,23.04,116.29,53.6,66,75,6.71,broken clouds,0.0,0.0
460,Bay Roberts,CA,2020-01-17 23:52:46,47.6,-53.26,25.0,92,90,37.87,heavy snow,0.0,0.0
461,Necochea,AR,2020-01-17 23:40:49,-38.55,-58.74,68.0,50,0,5.01,clear sky,0.0,0.0
462,Sao Paulo De Olivenca,BR,2020-01-17 23:52:47,-3.38,-68.87,76.39,94,85,1.61,light rain,2.06,0.0
463,Tyukhtet,RU,2020-01-17 23:52:48,56.54,89.3,22.84,91,100,19.91,light snow,0.0,0.37
464,Rumilly,FR,2020-01-17 23:52:48,45.87,5.95,43.0,100,90,3.36,mist,0.0,0.0
465,Arman,RU,2020-01-17 23:52:50,59.7,150.17,0.88,80,100,7.7,overcast clouds,0.0,0.0
466,Imbituba,BR,2020-01-17 23:52:51,-28.24,-48.67,71.6,64,75,4.7,broken clouds,0.0,0.0
467,Nkhotakota,MW,2020-01-17 23:53:19,-12.93,34.3,78.87,77,100,5.77,moderate rain,3.19,0.0
468,Poum,NC,2020-01-17 23:44:30,-20.23,164.02,79.21,78,0,15.73,clear sky,0.0,0.0
469,Camacha,PT,2020-01-17 23:53:21,33.08,-16.33,62.6,82,20,2.24,few clouds,0.0,0.0
470,Mirzapur,IN,2020-01-17 23:53:21,25.15,82.58,59.0,100,90,2.24,fog,0.0,0.0
471,Buta,CD,2020-01-17 23:53:23,2.79,24.73,74.91,49,94,1.61,overcast clouds,0.0,0.0
472,Molina,CL,2020-01-17 23:53:23,-35.12,-71.28,87.8,27,0,10.29,clear sky,0.0,0.0
473,Kismayo,SO,2020-01-17 23:45:13,-0.36,42.55,80.15,75,33,19.26,scattered clouds,0.0,0.0
474,Lokomotivnyy,RU,2020-01-17 23:53:25,53.01,60.57,23.18,92,100,7.34,overcast clouds,0.0,0.0
475,Lorengau,PG,2020-01-17 23:48:55,-2.02,147.27,84.76,75,39,27.29,scattered clouds,0.0,0.0
476,Jhargram,IN,2020-01-17 23:53:28,22.45,86.98,63.19,54,0,3.74,clear sky,0.0,0.0
477,Edea,CM,2020-01-17 23:53:29,3.8,10.13,80.6,94,40,2.24,scattered clouds,0.0,0.0
478,Foumban,CM,2020-01-17 23:53:29,5.73,10.9,65.89,40,48,2.44,scattered clouds,0.0,0.0
479,Torbay,CA,2020-01-17 23:53:30,47.67,-52.73,25.0,92,90,67.82,heavy snow,0.0,0.0
480,Cap Malheureux,MU,2020-01-17 23:48:42,-19.98,57.61,80.6,83,40,11.41,scattered clouds,0.0,0.0
481,Aasiaat,GL,2020-01-17 23:53:31,68.71,-52.87,-2.09,94,94,2.73,overcast clouds,0.0,0.0
482,Kieta,PG,2020-01-17 23:53:32,-6.22,155.63,84.96,64,25,5.3,scattered clouds,0.0,0.0
483,Coquimbo,CL,2020-01-17 23:53:33,-29.95,-71.34,77.0,72,50,12.75,scattered clouds,0.0,0.0
484,Ponta Delgada,PT,2020-01-17 23:53:34,37.73,-25.67,62.6,93,75,4.7,broken clouds,0.0,0.0
485,Waipawa,NZ,2020-01-17 23:53:35,-41.41,175.52,70.0,77,100,14.99,overcast clouds,0.0,0.0
486,Pirai Do Sul,BR,2020-01-17 23:53:36,-24.53,-49.95,64.99,99,98,3.0,overcast clouds,0.0,0.0
487,Ulaangom,MN,2020-01-17 23:53:38,49.98,92.07,-10.68,91,100,2.98,overcast clouds,0.0,0.0
488,Puerto Escondido,MX,2020-01-17 23:53:39,15.85,-97.07,82.4,74,20,1.23,few clouds,0.0,0.0
489,Pryozerne,UA,2020-01-17 23:53:40,45.27,36.33,39.06,75,100,18.66,overcast clouds,0.0,0.0
490,Sergeyevka,KZ,2020-01-17 23:53:41,53.88,67.42,9.81,92,72,6.71,broken clouds,0.0,0.0
491,Maldonado,UY,2020-01-17 23:53:42,-34.67,-54.92,64.4,63,0,4.7,clear sky,0.0,0.0
492,Chilca,PE,2020-01-17 23:53:42,-12.52,-76.74,73.4,78,40,17.22,scattered clouds,0.0,0.0
493,Pinotepa Nacional,MX,2020-01-17 23:53:43,16.32,-98.02,79.48,52,1,4.38,clear sky,0.0,0.0
494,Maceio,BR,2020-01-17 23:53:43,-9.67,-35.74,78.8,83,20,6.93,few clouds,0.0,0.0
495,Frankfort,ZA,2020-01-17 23:53:44,-27.27,28.48,63.99,46,30,5.14,scattered clouds,0.0,0.0
496,Alta Floresta,BR,2020-01-17 23:49:18,-9.88,-56.09,78.66,76,64,0.83,broken clouds,0.0,0.0
497,Brejo,BR,2020-01-17 23:53:46,-3.68,-42.75,74.98,96,99,3.4,light rain,2.06,0.0
498,Oceanside,US,2020-01-17 23:53:46,33.2,-117.38,61.0,51,1,5.82,clear sky,0.0,0.0
499,Vestmannaeyjar,IS,2020-01-17 23:53:47,63.44,-20.27,39.29,62,9,18.3,light snow,0.0,0.25
500,Fernandez,AR,2020-01-17 23:53:47,-27.92,-63.89,70.99,48,72,6.62,broken clouds,0.0,0.0
501,Preston,GB,2020-01-17 23:53:49,53.77,-2.72,43.0,93,40,11.41,shower rain,0.0,0.0
502,Rundu,NA,2020-01-17 23:53:49,-17.93,19.77,73.4,69,59,2.24,broken clouds,0.0,0.0
503,La Orilla,MX,2020-01-17 23:53:50,17.98,-102.23,80.73,70,86,3.53,overcast clouds,0.0,0.0
504,Matamoros,MX,2020-01-17 23:53:51,25.53,-103.25,73.4,46,90,6.93,overcast clouds,0.0,0.0
505,Yulara,AU,2020-01-17 23:53:52,-25.24,130.99,87.8,20,14,20.8,few clouds,0.0,0.0
506,Melilla,ES,2020-01-17 23:49:57,35.29,-2.94,57.2,58,62,5.82,broken clouds,0.0,0.0
507,Chunoyar,RU,2020-01-17 23:53:54,57.45,97.32,17.56,92,100,12.59,light snow,0.0,0.44
508,Coihaique,CL,2020-01-17 23:53:56,-45.58,-72.07,68.0,45,20,5.82,few clouds,0.0,0.0
509,Perth,AU,2020-01-17 23:53:40,-31.93,115.83,73.4,60,20,12.75,few clouds,0.0,0.0
510,Zavyalovo,RU,2020-01-17 23:53:57,54.51,82.45,28.4,86,90,20.13,light snow,0.0,0.0
511,Dabakala,CI,2020-01-17 23:53:58,8.37,-4.43,76.77,23,42,1.23,scattered clouds,0.0,0.0
512,Erenhot,CN,2020-01-17 23:53:58,43.65,111.98,13.95,88,100,15.57,overcast clouds,0.0,0.0
513,Richards Bay,ZA,2020-01-17 23:53:59,-28.78,32.04,80.11,84,0,17.05,clear sky,0.0,0.0
514,Oktyabrskiy,RU,2020-01-17 23:54:00,54.48,53.47,26.24,95,99,4.63,overcast clouds,0.0,0.0
515,Carbonia,IT,2020-01-17 23:54:00,39.17,8.52,53.6,81,40,3.36,scattered clouds,0.0,0.0
516,Ambagarh Chauki,IN,2020-01-17 23:54:01,20.78,80.72,62.67,87,42,4.25,scattered clouds,0.0,0.0
517,Cairns,AU,2020-01-17 23:51:34,-16.92,145.77,91.99,55,0,12.75,clear sky,0.0,0.0
518,Severo-Yeniseyskiy,RU,2020-01-17 23:54:03,60.37,93.04,15.13,88,100,11.3,overcast clouds,0.0,0.0
519,Havre-Saint-Pierre,CA,2020-01-17 23:50:05,50.23,-63.6,-2.2,49,1,6.93,clear sky,0.0,0.0
520,Tual,ID,2020-01-17 23:54:04,-5.67,132.75,83.01,80,97,10.02,light rain,1.94,0.0
521,Tera,NE,2020-01-17 23:54:05,14.01,0.75,67.17,18,17,10.36,few clouds,0.0,0.0
522,Las Choapas,MX,2020-01-17 23:54:06,17.93,-94.08,77.0,83,90,6.93,overcast clouds,0.0,0.0
